 game_id;timestamp;successRate;score
9253;03/05/2020 17:32;0;0
9256;03/05/2020 17:41;69;45
9257;03/05/2020 17:42;53;45
9259;03/05/2020 17:51;62;25
9261;03/05/2020 17:52;57;40
9272;03/05/2020 18:26;31;25
9276;03/05/2020 18:33;25;5
9277;03/05/2020 18:35;67;50
9288;03/05/2020 19:14;27;30
9291;03/05/2020 19:27;79;95
9292;03/05/2020 19:28;84;105
9200;03/04/2020 16:51;0;0
9201;03/04/2020 16:51;19;20
9202;03/04/2020 16:53;0;0
9203;03/04/2020 17:01;60;15
9204;03/04/2020 17:05;38;15
9205;03/04/2020 17:17;33;20
9206;03/04/2020 17:21;52;55
9207;03/04/2020 17:27;67;40
9208;03/04/2020 17:28;70;80
9209;03/04/2020 17:36;47;35
9210;03/04/2020 17:37;54;65
9211;03/04/2020 17:43;71;75
9212;03/04/2020 17:47;52;60
9213;03/04/2020 17:51;64;45
9214;03/04/2020 18:03;33;20
9216;03/04/2020 18:20;62;50
9219;03/04/2020 18:34;61;70
9221;03/04/2020 18:44;96;120
9225;03/04/2020 19:09;41;45
9226;03/04/2020 19:10;57;65
9229;03/04/2020 19:18;64;45
9231;03/04/2020 19:44;50;55
9234;03/04/2020 19:53;52;55
9235;03/04/2020 19:54;79;95
9236;03/04/2020 20:07;80;60
9237;03/04/2020 20:18;62;75
9241;03/05/2020 15:20;96;115
9242;03/05/2020 15:45;96;120
9243;03/05/2020 15:46;96;120
9244;03/05/2020 15:57;96;120
9245;03/05/2020 16:12;100;125
9246;03/05/2020 16:21;0;0
9247;03/05/2020 16:22;92;115
9248;03/05/2020 17:27;100;5
9249;03/05/2020 17:28;55;60
9250;03/05/2020 17:28;88;110
9251;03/05/2020 17:35;52;65
9252;03/05/2020 17:37;68;85
9254;03/05/2020 17:47;62;50
9255;03/05/2020 17:51;39;45
9258;03/05/2020 17:56;45;50
9260;03/05/2020 18:04;79;95
9262;03/05/2020 18:09;43;50
9263;03/05/2020 18:16;0;0
9264;03/05/2020 18:18;0;0
9265;03/05/2020 18:18;28;25
9266;03/05/2020 18:20;39;45
9267;03/05/2020 18:21;58;35
9268;03/05/2020 18:26;71;60
9269;03/05/2020 18:28;59;65
9270;03/05/2020 18:31;62;75
9274;03/05/2020 18:41;0;0
9275;03/05/2020 18:43;0;0
9278;03/05/2020 18:49;47;45
9279;03/05/2020 18:51;55;60
9280;03/05/2020 18:52;91;50
9281;03/05/2020 18:52;71;85
9282;03/05/2020 19:00;62;50
9283;03/05/2020 19:01;59;65
9284;03/05/2020 19:02;67;80
9285;03/05/2020 19:08;33;15
9286;03/05/2020 19:11;71;85
9287;03/05/2020 19:15;83;100
9289;03/05/2020 19:27;38;25
9290;03/05/2020 19:36;33;35
9293;03/05/2020 19:42;75;90
9294;03/05/2020 19:53;75;90
9295;03/05/2020 20:00;58;35
9296;03/05/2020 20:11;67;30
9297;03/06/2020 17:27;100;125
9298;03/06/2020 17:28;0;0
9299;03/06/2020 17:17;100;20
9300;03/06/2020 17:26;75;60
9301;03/06/2020 17:38;59;65
9302;03/06/2020 17:27;64;70
9303;03/06/2020 17:40;100;40
9304;03/06/2020 17:41;79;55
9305;03/06/2020 17:34;71;25
9306;03/06/2020 17:36;76;65
9307;03/06/2020 17:43;86;30
9308;03/06/2020 17:45;91;50
9309;03/06/2020 18:17;43;50
9310;03/06/2020 18:18;54;65
9311;03/06/2020 18:41;0;0
9312;03/06/2020 18:55;43;50
9313;03/06/2020 19:00;25;30
9314;03/06/2020 19:11;77;85
9315;03/06/2020 19:14;38;45
9317;03/06/2020 19:45;79;75
9318;03/06/2020 19:46;78;90
9319;03/06/2020 19:56;44;40
9320;03/06/2020 19:57;69;55
9323;03/07/2020 12:20;0;0
9325;03/07/2020 12:17;71;25
9326;03/07/2020 12:18;68;75
9327;03/07/2020 12:42;50;15
9328;03/07/2020 12:44;80;100
9329;03/07/2020 12:39;39;45
9330;03/07/2020 12:52;53;45
9331;03/07/2020 12:41;61;70
9332;03/07/2020 13:04;33;25
9334;03/07/2020 13:56;50;10
9335;03/07/2020 13:57;50;20
